time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-27 00:00:00+00:00,15,6,0,0
2026-03-28 00:00:00+00:00,18,9,0,0
2026-03-29 00:00:00+00:00,18,13,1,1
2026-03-30 00:00:00+00:00,18,14,5,2
2026-03-31 00:00:00+00:00,12,7,0,0
2026-04-01 00:00:00+00:00,16,7,0,0
2026-04-02 00:00:00+00:00,19,10,1,1
2026-04-03 00:00:00+00:00,12,7,0,0
2026-04-04 00:00:00+00:00,16,7,7,1
2026-04-05 00:00:00+00:00,22,9,0,0
2026-04-06 00:00:00+00:00,9,5,0,0
2026-04-07 00:00:00+00:00,9,5,14,2
2026-04-08 00:00:00+00:00,17,10,13,5
2026-04-09 00:00:00+00:00,39,13,2,2
