time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-25 00:00:00+00:00,0,0,3,1
2024-11-26 00:00:00+00:00,1,1,5,3
2024-11-27 00:00:00+00:00,0,0,6,4
2024-11-28 00:00:00+00:00,2,2,5,5
2024-11-29 00:00:00+00:00,2,1,8,4
2024-11-30 00:00:00+00:00,2,2,26,3
2024-12-01 00:00:00+00:00,4,4,0,0
2024-12-02 00:00:00+00:00,2,2,2,2
2024-12-03 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,2,1,16,3
2024-12-06 00:00:00+00:00,0,0,4,3
2024-12-09 00:00:00+00:00,7,4,2,1
2024-12-10 00:00:00+00:00,4,3,2,2
2024-12-11 00:00:00+00:00,2,1,3,3
2024-12-12 00:00:00+00:00,2,2,16,3
2024-12-13 00:00:00+00:00,7,4,14,2
2024-12-14 00:00:00+00:00,2,2,0,0
2024-12-15 00:00:00+00:00,5,3,0,0
2024-12-16 00:00:00+00:00,3,2,28,2
2024-12-17 00:00:00+00:00,3,2,12,2
2024-12-18 00:00:00+00:00,3,3,21,5
2024-12-19 00:00:00+00:00,2,1,102,2
2024-12-20 00:00:00+00:00,1,1,8,4
2024-12-21 00:00:00+00:00,4,4,0,0
2024-12-22 00:00:00+00:00,3,3,0,0
2024-12-23 00:00:00+00:00,4,2,2,2
2024-12-24 00:00:00+00:00,3,2,1,1
2024-12-25 00:00:00+00:00,2,1,0,0
2024-12-26 00:00:00+00:00,2,2,0,0
2024-12-27 00:00:00+00:00,2,2,1,1
